,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
117,7.7,3.8,6.7,2.2,virginica
145,6.7,3.0,5.2,2.3,virginica
115,6.4,3.2,5.3,2.3,virginica
61,5.9,3.0,4.2,1.5,versicolor
100,6.3,3.3,6.0,2.5,virginica
37,4.9,3.6,1.4,0.1,setosa
121,5.6,2.8,4.9,2.0,virginica
46,5.1,3.8,1.6,0.2,setosa
14,5.8,4.0,1.2,0.2,setosa
3,4.6,3.1,1.5,0.2,setosa
107,7.3,2.9,6.3,1.8,virginica
58,6.6,2.9,4.6,1.3,versicolor
130,7.4,2.8,6.1,1.9,virginica
19,5.1,3.8,1.5,0.3,setosa
4,5.0,3.6,1.4,0.2,setosa
64,5.6,2.9,3.6,1.3,versicolor
55,5.7,2.8,4.5,1.3,versicolor
74,6.4,2.9,4.3,1.3,versicolor
98,5.1,2.5,3.0,1.1,versicolor
119,6.0,2.2,5.0,1.5,virginica
39,5.1,3.4,1.5,0.2,setosa
89,5.5,2.5,4.0,1.3,versicolor
56,6.3,3.3,4.7,1.6,versicolor
57,4.9,2.4,3.3,1.0,versicolor
59,5.2,2.7,3.9,1.4,versicolor
8,4.4,2.9,1.4,0.2,setosa
40,5.0,3.5,1.3,0.3,setosa
9,4.9,3.1,1.5,0.1,setosa
15,5.7,4.4,1.5,0.4,setosa
85,6.0,3.4,4.5,1.6,versicolor
66,5.6,3.0,4.5,1.5,versicolor
90,5.5,2.6,4.4,1.2,versicolor
76,6.8,2.8,4.8,1.4,versicolor
20,5.4,3.4,1.7,0.2,setosa
42,4.4,3.2,1.3,0.2,setosa
2,4.7,3.2,1.3,0.2,setosa
120,6.9,3.2,5.7,2.3,virginica
140,6.7,3.1,5.6,2.4,virginica
5,5.4,3.9,1.7,0.4,setosa
94,5.6,2.7,4.2,1.3,versicolor
143,6.8,3.2,5.9,2.3,virginica
147,6.5,3.0,5.2,2.0,virginica
24,4.8,3.4,1.9,0.2,setosa
63,6.1,2.9,4.7,1.4,versicolor
105,7.6,3.0,6.6,2.1,virginica
146,6.3,2.5,5.0,1.9,virginica
35,5.0,3.2,1.2,0.2,setosa
96,5.7,2.9,4.2,1.3,versicolor
87,6.3,2.3,4.4,1.3,versicolor
111,6.4,2.7,5.3,1.9,virginica
32,5.2,4.1,1.5,0.1,setosa
52,6.9,3.1,4.9,1.5,versicolor
21,5.1,3.7,1.5,0.4,setosa
13,4.3,3.0,1.1,0.1,setosa
122,7.7,2.8,6.7,2.0,virginica
71,6.1,2.8,4.0,1.3,versicolor
81,5.5,2.4,3.7,1.0,versicolor
133,6.3,2.8,5.1,1.5,virginica
109,7.2,3.6,6.1,2.5,virginica
65,6.7,3.1,4.4,1.4,versicolor
47,4.6,3.2,1.4,0.2,setosa
7,5.0,3.4,1.5,0.2,setosa
110,6.5,3.2,5.1,2.0,virginica
125,7.2,3.2,6.0,1.8,virginica
73,6.1,2.8,4.7,1.2,versicolor
31,5.4,3.4,1.5,0.4,setosa
88,5.6,3.0,4.1,1.3,versicolor
142,5.8,2.7,5.1,1.9,virginica
84,5.4,3.0,4.5,1.5,versicolor
80,5.5,2.4,3.8,1.1,versicolor
136,6.3,3.4,5.6,2.4,virginica
139,6.9,3.1,5.4,2.1,virginica
148,6.2,3.4,5.4,2.3,virginica
103,6.3,2.9,5.6,1.8,virginica
38,4.4,3.0,1.3,0.2,setosa
144,6.7,3.3,5.7,2.5,virginica
108,6.7,2.5,5.8,1.8,virginica
28,5.2,3.4,1.4,0.2,setosa
99,5.7,2.8,4.1,1.3,versicolor
0,5.1,3.5,1.4,0.2,setosa
124,6.7,3.3,5.7,2.1,virginica
45,4.8,3.0,1.4,0.3,setosa
48,5.3,3.7,1.5,0.2,setosa
83,6.0,2.7,5.1,1.6,versicolor
72,6.3,2.5,4.9,1.5,versicolor
16,5.4,3.9,1.3,0.4,setosa
23,5.1,3.3,1.7,0.5,setosa
82,5.8,2.7,3.9,1.2,versicolor
54,6.5,2.8,4.6,1.5,versicolor
26,5.0,3.4,1.6,0.4,setosa
101,5.8,2.7,5.1,1.9,virginica
114,5.8,2.8,5.1,2.4,virginica
75,6.6,3.0,4.4,1.4,versicolor
60,5.0,2.0,3.5,1.0,versicolor
129,7.2,3.0,5.8,1.6,virginica
17,5.1,3.5,1.4,0.3,setosa
113,5.7,2.5,5.0,2.0,virginica
118,7.7,2.6,6.9,2.3,virginica
34,4.9,3.1,1.5,0.2,setosa
18,5.7,3.8,1.7,0.3,setosa
